Customer ID,Product ID,Order ID,Order Quantity,Review Rating,Payment Method,Subscription Status,Shipping Type,Discount,Date
cmqva4sucpxicgbcuhuiuwmbcuamldsq,d25a70e80b554fdcc4d53a7939a1cd81,qibq5bx9bjf6xlzeu3o7s1poajjxrizy,2,4.8,PayPal,No,Store Pickup,38.21%,2022-01-05
7gvjwveptda4cquw00s5j6krp6kperzi,325be9d8fef8ba85153e9f74c42269ba,39flqqbibqqoat80qxzt5ple84f8mdtg,14,4.4,Bank Transfer,No,Next Day Air,4.18%,2022-01-04
el5ara0cqvunvbm0pczhj5noc0uulrtj,af11d5f530665e1500ec2dcfe72a6fe2,cgmo5mgpbqtdyj5iv6s0cubprzur2i9c,7,3.7,Cash,No,2-Day Shipping,20.07%,2022-01-09
roxarwthqkzvk3usslyutpfaxgu9awiy,a047a3c2aa91a3d30b71a97e14b0aacf,5gdnbfsfgyeoxmve2p06rrb4fd5hl5cu,9,4.9,PayPal,Yes,2-Day Shipping,5.23%,2022-01-25
cbkiyqnvlnibrfhdwupmdavvrwu7zyhj,d3bafe51896376b23424226386ca8820,cyf8z5ljftql2o1qz71gdyvoefmacmlm,7,4.8,Bank Transfer,No,Standard,24.4%,2022-01-31
kacyaizxuvyekiaxetvzz8bhpq1lwfme,1557342a69ca590ca114bceb1edcc9df,kisyfmkr1mwxr7mp9t5ao7wuqlexhrrh,2,4.0,Debit Card,Yes,Store Pickup,21.94%,2022-01-22
ek7ulitooca65vqnursptubqsm3vkt6o,b8777d0e9c715d5ab3a23ccb7d216e36,esppqhnv3ifiroiz72dmor49yojd83sr,5,3.2,Credit Card,Yes,2-Day Shipping,20.76%,2022-01-05
lexgne1wtdppseqvoyqf4yu5kgfvugae,7a09e8d8ea6bf53f58b5b16f53db691f,k2ptnlprlw9piqdom4ncyqwcxfvzxumo,9,4.2,PayPal,Yes,,13.82%,2022-01-30
sukjlbfiad6xphoc6bz4anw0koj1w1qm,5d814213a5f0ef41e6979257be58ca82,qyvya4rwxswqrrccjuguh6odm8wanxwm,10,3.1,PayPal,No,Free Shipping,14.7%,2022-01-15
0zw9eyvfxriavhhw1er0pzdi4nli6zmm,bd4876a0de22f2e248cb226e022949e1,vdagvp1je0icvb7vwdx9mp8pfp61zypf,7,4.9,Cash,Yes,Store Pickup,10.27%,2022-01-29
mcx6yqz4jk9onpkgiqvd8peerxenswpe,dcd066c368f9b066f1e02764d2619f02,vfnbwhco8xvdtuv51cxrjhjo93blstz9,8,2.9,Venmo,Yes,Free Shipping,7.57%,2022-01-07
on5s1xuftc3k1s76wwgbxwnfztjiuhly,0be1af716128f49ee20ef7e61c46f5c7,ix7tyfu7ooc80ulxogdxtcnk3i2nyr3w,9,4.6,Cash,Y,Next Day Air,10.99%,2022-01-20
c5axd5r3pl6lk5sirhwrgodqs37hraff,aedb70413cb3fb60ebf63725a97519fd,pvinu6a8li9hvvkwuq889wejnckux4wv,10,4.2,Debit Card,No,Free Shipping,47.95%,2022-01-03
